PLAYER_NAME,AGE,TEAM_ABBREVIATION,POS,GP,MPG,FGPG,FGAPG,FG_PCT,FG3PG,FG3APG,FG3_PCT,FTPG,FTAPG,FT_PCT,ORPG,DRPG,RPG,APG,SPG,BPG,TPG,PPG,PFPG,FPPG,DD2,TD3
Caleb Martin,29.0,DAL,Forward,45,27.1,2.9,6.8,0.424,0.8,2.3,0.359,1.4,2.2,0.622,1.2,2.8,3.9,2.1,1.0,0.5,1.2,7.9,1.9,19.2,1,0
Cam Christie,19.0,LAC,Guard,13,4.5,0.5,1.8,0.292,0.2,1.0,0.154,0.2,0.3,0.5,0.2,0.7,0.9,0.5,0.4,0.1,0.2,1.4,0.3,4.4,0,0
Cam Reddish,25.0,LAL,Forward-Guard,33,17.9,1.2,2.8,0.404,0.4,1.4,0.277,0.5,0.8,0.615,0.5,1.5,2.0,0.7,1.0,0.3,0.4,3.2,1.3,10.1,0,0
Cam Spencer,25.0,MEM,Guard,25,10.1,1.4,3.3,0.415,0.8,2.1,0.365,0.8,0.8,1.0,0.5,0.7,1.2,1.4,0.4,0.0,0.2,4.2,0.9,8.7,0,0
Cam Thomas,23.0,BKN,Guard,25,31.2,8.0,18.2,0.438,2.7,7.8,0.349,5.3,6.0,0.881,0.6,2.7,3.3,3.8,0.6,0.1,2.5,24.0,1.8,33.1,1,0
Cam Whitmore,20.0,HOU,Forward,51,16.2,3.5,7.9,0.444,1.3,3.6,0.355,1.1,1.4,0.75,0.7,2.3,3.0,1.0,0.6,0.3,0.9,9.4,0.9,16.0,2,0
Cameron Johnson,29.0,BKN,Forward,57,31.6,6.2,13.1,0.475,2.8,7.2,0.39,3.5,3.9,0.893,0.9,3.4,4.3,3.4,0.9,0.4,1.7,18.8,1.8,31.4,2,0
Cameron Payne,30.0,NYK,Guard,72,15.1,2.5,6.2,0.401,1.3,3.6,0.363,0.7,0.8,0.907,0.2,1.2,1.4,2.8,0.5,0.2,0.7,6.9,1.5,14.5,0,0
Caris LeVert,30.0,ATL,Guard,64,24.9,4.4,9.4,0.467,1.7,4.4,0.373,1.7,2.4,0.71,0.6,2.5,3.2,3.4,0.9,0.5,1.2,12.1,1.5,24.0,1,0
Cason Wallace,21.0,OKC,Guard,68,27.6,3.4,7.2,0.474,1.1,3.1,0.356,0.4,0.5,0.811,1.0,2.3,3.4,2.5,1.8,0.5,0.9,8.4,2.1,22.2,0,0
